时间,M2,M2:同比
2018/4/1,"1,737,683.73",8.3
2018/5/1,"1,743,063.79",8.3
2018/6/1,"1,770,178.37",8
2018/7/1,"1,776,196.11",8.5
2018/8/1,"1,788,670.43",8.2
2018/9/1,"1,801,665.58",8.3
2018/10/1,"1,795,561.60",8
2018/11/1,"1,813,175.07",8
2018/12/1,"1,826,744.22",8.1
2019/1/1,"1,865,935.33",8.4
2019/2/1,"1,867,427.45",8
2019/3/1,"1,889,412.14",8.6
2019/4/1,"1,884,670.33",8.5
2019/5/1,"1,891,153.70",8.5
2019/6/1,"1,921,360.19",8.5
2019/7/1,"1,919,410.82",8.1
2019/8/1,"1,935,492.43",8.2
2019/9/1,"1,952,250.49",8.4
2019/10/1,"1,945,600.55",8.4
2019/11/1,"1,961,429.56",8.2
2019/12/1,"1,986,488.82",8.7
2020/1/1,"2,023,066.49",8.4
2020/2/1,"2,030,830.42",8.8
2020/3/1,"2,080,923.41",10.1
2020/4/1,"2,093,533.83",11.1
2020/5/1,"2,100,183.74",11.1
